language,injury_type,severity,body_region,victim_sex,victim_age_group
twi,0.9165971643035863,0.7071247535905378,0.8064125831820932,0.946949602122016,0.637785552582836
ga,0.20491507047343693,-0.007765314926660993,0.024233670357887815,0.1707317073170732,0.07210516141503953
ewe,0.17730496453900713,0.07960660604935976,0.14851155829037077,0.154228855721393,0.10060975609756084
fante,0.6692913385826771,0.45399945399945396,0.49376512190582533,0.4554455445544555,0.5223880597014925
dagbani,0.1029023746701847,0.004037685060565455,0.050715214564369004,0.1140278917145201,0.10808767951625098
