lang1,lang2,injury_type,severity,body_region,victim_sex,victim_age_group
twi,ga,0.19031266943791791,0.07676167162091274,0.03927296332359609,0.16256157635467983,0.03963414634146334
twi,ewe,0.15909495813290564,0.05013192612137207,0.13819222353139204,0.11334169803429539,0.11525029103608841
twi,fante,0.6541560227942622,0.4345490528696636,0.4601686972820993,0.4685990338164251,0.5514617541049259
twi,dagbani,0.09589496426790767,0.002050580997949525,0.06640368178829714,0.10596026490066235,0.14601601219977134
ga,ewe,0.08684863523573205,0.03646704583472726,0.062247372675828694,-0.007712082262210762,-0.06666666666666665
ga,fante,0.1703703703703704,-0.0036363636363636598,-0.015493746499906536,0.07849829351535831,0.054334301119867257
ga,dagbani,0.13929784824462077,-0.07074569789674956,0.11942762795817274,-0.00222717149220486,0.0741839762611276
ewe,fante,0.10178538560647887,0.005245774237419898,0.1460674157303371,0.022298456260720356,0.08803039898670051
ewe,dagbani,0.1123439667128987,0.018759018759018753,0.1438763376932224,0.1539850399793654,0.06742281033396336
fante,dagbani,0.09380530973451329,0.027877055039313814,0.01529280119358456,0.08462867012089803,0.1761244220260615
